variant,family,condition,successes,n,rate,status,missing_episodes
perceptual-framesamp-expert,VideoUnmaskSwap,k0,12,50,0.24,complete,
perceptual-framesamp-expert,VideoUnmaskSwap,k1,17,50,0.34,complete,
perceptual-framesamp-expert,VideoUnmaskSwap,k3,16,50,0.32,complete,
perceptual-framesamp-expert,VideoUnmaskSwap,k7,15,50,0.3,complete,
perceptual-framesamp-expert,VideoRepick,no-history,2,50,0.04,complete,
perceptual-framesamp-expert,VideoRepick,k0,8,50,0.16,complete,
perceptual-framesamp-expert,VideoRepick,k1,7,50,0.14,complete,
perceptual-framesamp-expert,VideoRepick,k3,10,50,0.2,complete,
perceptual-framesamp-expert,VideoRepick,k7,4,50,0.08,complete,
perceptual-framesamp-expert,VideoPlaceButton,no-history,9,50,0.18,complete,
perceptual-framesamp-expert,VideoPlaceButton,k0,15,50,0.3,complete,
perceptual-framesamp-expert,VideoPlaceButton,k1,12,50,0.24,complete,
perceptual-framesamp-expert,VideoPlaceButton,k3,13,50,0.26,complete,
perceptual-framesamp-expert,VideoPlaceButton,k7,11,50,0.22,complete,
perceptual-framesamp-expert,VideoPlaceOrder,no-history,13,50,0.26,complete,
perceptual-framesamp-expert,VideoPlaceOrder,k0,14,50,0.28,complete,
perceptual-framesamp-expert,VideoPlaceOrder,k1,12,50,0.24,complete,
perceptual-framesamp-expert,VideoPlaceOrder,k3,13,50,0.26,complete,
perceptual-framesamp-expert,VideoPlaceOrder,k7,11,50,0.22,complete,
perceptual-framesamp-expert,InsertPeg,no-history,0,50,0.0,complete,
perceptual-framesamp-expert,InsertPeg,k0,1,50,0.02,complete,
perceptual-framesamp-expert,InsertPeg,k1,1,50,0.02,complete,
perceptual-framesamp-expert,InsertPeg,k3,1,50,0.02,complete,
perceptual-framesamp-expert,InsertPeg,k7,3,50,0.06,complete,
perceptual-framesamp-expert,PatternLock,no-history,7,50,0.14,complete,
perceptual-framesamp-expert,PatternLock,k0,4,50,0.08,complete,
perceptual-framesamp-expert,PatternLock,k1,8,50,0.16,complete,
perceptual-framesamp-expert,PatternLock,k3,4,50,0.08,complete,
perceptual-framesamp-expert,PatternLock,k7,5,50,0.1,complete,
perceptual-tokendrop-context,MoveCube,no-history,13,50,0.26,complete,
perceptual-tokendrop-context,MoveCube,k0,39,50,0.78,complete,
perceptual-tokendrop-context,MoveCube,k1,21,50,0.42,complete,
perceptual-tokendrop-context,MoveCube,k3,19,50,0.38,complete,
