family,variant,condition,successes,n,rate,status
VideoPlaceOrder,recurrent-ttt-context,k0,8,50,0.16,complete
VideoPlaceOrder,recurrent-ttt-context,k1,7,50,0.14,complete
VideoPlaceOrder,recurrent-ttt-context,k3,5,50,0.1,complete
VideoPlaceOrder,recurrent-ttt-context,k7,3,50,0.06,complete
InsertPeg,pi05_baseline,no-history,1,50,0.02,complete
InsertPeg,perceptual-framesamp-modul,no-history,1,50,0.02,complete
InsertPeg,perceptual-framesamp-modul,k0,4,50,0.08,complete
InsertPeg,perceptual-framesamp-modul,k1,1,50,0.02,complete
InsertPeg,perceptual-framesamp-modul,k3,1,50,0.02,complete
InsertPeg,perceptual-framesamp-modul,k7,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-modul,no-history,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-modul,k0,4,50,0.08,complete
InsertPeg,perceptual-tokendrop-modul,k1,3,50,0.06,complete
InsertPeg,perceptual-tokendrop-modul,k3,1,50,0.02,complete
InsertPeg,perceptual-tokendrop-modul,k7,1,50,0.02,complete
InsertPeg,recurrent-ttt-expert,no-history,1,50,0.02,complete
InsertPeg,recurrent-ttt-expert,k0,2,50,0.04,complete
InsertPeg,recurrent-ttt-expert,k1,2,50,0.04,complete
InsertPeg,recurrent-ttt-expert,k3,0,50,0.0,complete
InsertPeg,recurrent-ttt-expert,k7,1,50,0.02,complete
InsertPeg,perceptual-framesamp-context,no-history,1,50,0.02,complete
InsertPeg,perceptual-framesamp-context,k0,0,50,0.0,complete
InsertPeg,perceptual-framesamp-context,k1,0,50,0.0,complete
InsertPeg,perceptual-framesamp-context,k3,1,50,0.02,complete
InsertPeg,perceptual-framesamp-context,k7,0,50,0.0,complete
InsertPeg,perceptual-framesamp-expert,no-history,0,50,0.0,complete
InsertPeg,perceptual-framesamp-expert,k0,1,50,0.02,complete
InsertPeg,perceptual-framesamp-expert,k1,1,50,0.02,complete
InsertPeg,perceptual-framesamp-expert,k3,1,50,0.02,complete
InsertPeg,perceptual-framesamp-expert,k7,3,50,0.06,complete
InsertPeg,perceptual-tokendrop-context,no-history,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-context,k0,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-context,k1,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-context,k3,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-context,k7,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-expert,no-history,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-expert,k0,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-expert,k1,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-expert,k3,0,50,0.0,complete
InsertPeg,perceptual-tokendrop-expert,k7,0,50,0.0,complete
InsertPeg,recurrent-ttt-context,no-history,0,50,0.0,complete
InsertPeg,recurrent-ttt-context,k0,0,50,0.0,complete
InsertPeg,recurrent-ttt-context,k1,0,50,0.0,complete
InsertPeg,recurrent-ttt-context,k3,0,50,0.0,complete
InsertPeg,recurrent-ttt-context,k7,0,50,0.0,complete
PatternLock,pi05_baseline,no-history,2,50,0.04,complete
PatternLock,perceptual-framesamp-modul,no-history,3,50,0.06,complete
PatternLock,perceptual-framesamp-modul,k0,27,50,0.54,complete
PatternLock,perceptual-framesamp-modul,k1,21,50,0.42,complete
PatternLock,perceptual-framesamp-modul,k3,10,50,0.2,complete
PatternLock,perceptual-framesamp-modul,k7,4,50,0.08,complete
PatternLock,perceptual-tokendrop-modul,no-history,0,50,0.0,complete
PatternLock,perceptual-tokendrop-modul,k0,15,50,0.3,complete
PatternLock,perceptual-tokendrop-modul,k1,12,50,0.24,complete
PatternLock,perceptual-tokendrop-modul,k3,7,50,0.14,complete
PatternLock,perceptual-tokendrop-modul,k7,6,50,0.12,complete
PatternLock,recurrent-ttt-expert,no-history,1,50,0.02,complete
PatternLock,recurrent-ttt-expert,k0,4,50,0.08,complete
PatternLock,recurrent-ttt-expert,k1,1,50,0.02,complete
PatternLock,recurrent-ttt-expert,k3,2,50,0.04,complete
PatternLock,recurrent-ttt-expert,k7,4,50,0.08,complete
PatternLock,perceptual-framesamp-context,no-history,4,50,0.08,complete
PatternLock,perceptual-framesamp-context,k0,7,50,0.14,complete
PatternLock,perceptual-framesamp-context,k1,5,50,0.1,complete
PatternLock,perceptual-framesamp-context,k3,7,50,0.14,complete
PatternLock,perceptual-framesamp-context,k7,7,50,0.14,complete
PatternLock,perceptual-framesamp-expert,no-history,7,50,0.14,complete
PatternLock,perceptual-framesamp-expert,k0,4,50,0.08,complete
PatternLock,perceptual-framesamp-expert,k1,8,50,0.16,complete
PatternLock,perceptual-framesamp-expert,k3,4,50,0.08,complete
PatternLock,perceptual-framesamp-expert,k7,5,50,0.1,complete
PatternLock,perceptual-tokendrop-context,no-history,8,50,0.16,complete
PatternLock,perceptual-tokendrop-context,k0,8,50,0.16,complete
PatternLock,perceptual-tokendrop-context,k1,8,50,0.16,complete
PatternLock,perceptual-tokendrop-context,k3,8,50,0.16,complete
PatternLock,perceptual-tokendrop-context,k7,8,50,0.16,complete
PatternLock,perceptual-tokendrop-expert,no-history,8,50,0.16,complete
PatternLock,perceptual-tokendrop-expert,k0,8,50,0.16,complete
PatternLock,perceptual-tokendrop-expert,k1,8,50,0.16,complete
PatternLock,perceptual-tokendrop-expert,k3,8,50,0.16,complete
PatternLock,perceptual-tokendrop-expert,k7,8,50,0.16,complete
PatternLock,recurrent-ttt-context,no-history,8,50,0.16,complete
PatternLock,recurrent-ttt-context,k0,8,50,0.16,complete
PatternLock,recurrent-ttt-context,k1,8,50,0.16,complete
PatternLock,recurrent-ttt-context,k3,8,50,0.16,complete
PatternLock,recurrent-ttt-context,k7,8,50,0.16,complete
